Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Temporal_distance,Condition,Task
3,2,1,4,4.269736362,1.513421916,2,Incongruent,N
3,2,2,4,2.154063621,1.102470312,3,Incongruent,N
3,2,1,4,2.348134528,0.630270449,1,Incongruent,N
3,2,1,4,5.835863789,1.326795914,2,Congruent,N
3,2,1,4,2.038008112,0.709829637,3,Congruent,N
3,2,2,4,2.470521098,0.782206895,3,Congruent,N
3,2,2,4,3.020058617,2.243891912,3,Incongruent,N
3,2,2,4,2.422142551,0.70352073,1,Congruent,N
3,2,1,4,3.34658007,0.89157401,2,Incongruent,N
3,2,1,4,2.521809587,0.750373948,3,Incongruent,N
3,1,1,2,4.227576465,0.779530799,2,Congruent,N
3,1,2,4,3.719850946,1.118773451,1,Incongruent,N
3,1,1,4,3.01630478,0.691984348,1,Congruent,N
3,2,2,4,4.611438905,0.818741369,2,Incongruent,N
3,2,2,4,3.705513751,0.74215243,1,Congruent,N
3,1,1,3,3.712328913,1.054755968,2,Congruent,N
3,1,2,4,5.11210557,1.361366905,1,Congruent,N
3,1,1,4,2.612408749,1.128057941,2,Incongruent,N
3,2,NaN,NaN,NaN,NaN,2,Incongruent,N
3,1,2,4,2.756460907,0.626536304,3,Incongruent,N
3,2,1,3,2.203752934,1.616460021,2,Congruent,N
3,1,1,2,2.286232321,0.736143008,1,Congruent,N
3,1,2,2,2.841225416,0.835231585,2,Congruent,N
3,2,1,4,2.97792908,1.330461135,3,Congruent,N
3,2,2,4,2.133473723,0.483344041,1,Congruent,N
3,1,1,4,6.050729721,2.191021068,3,Incongruent,N
3,1,1,2,1.806337707,0.913492726,3,Incongruent,N
3,2,2,3,3.177285717,1.234010091,1,Incongruent,N
3,2,2,1,3.275472142,0.922289832,2,Congruent,N
3,2,2,4,2.595989507,0.553432074,3,Incongruent,N
3,2,1,3,2.810138314,1.496903802,3,Congruent,N
3,1,1,4,4.09641207,0.762789097,2,Congruent,N
3,1,1,4,2.171741116,0.54465589,2,Congruent,N
3,2,2,4,3.838190757,1.482372556,3,Congruent,N
3,2,1,4,3.051795565,0.715822238,2,Incongruent,N
3,1,1,4,5.428288997,0.658505046,3,Congruent,N
3,1,2,4,3.73685193,0.81331287,1,Incongruent,N
3,2,1,4,2.539281544,0.615324024,1,Incongruent,N
3,2,2,4,5.305271864,0.860648958,1,Congruent,N
3,1,1,4,2.093534539,0.809968878,3,Incongruent,N
3,2,1,2,5.151784242,1.564724353,3,Incongruent,N
3,2,1,2,2.998460722,1.188062306,3,Incongruent,N
